Manufacturer,Lens Family,Focal Length,Speed,Close Focus,Mount,Coverage,Image Circle,Anamorphic Squeeze,Outer Diameter,Filter Thread,Weight,Lens Type,Notes,Lens Specialty,photo,description,Hybrid
Angenieux,Optimo,17-80mm,T2.2,2',PL,Academy 35,,1x,136mm,N/A,12.1lbs,Zoom,"<p><a href=""/lens?family=Optimo"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/044edcc4-44c2-4010-ae14-4be15c4ebc6d/5S5A3745+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4ac052c6-842e-4888-ba4a-812808e0cdfc/5S5A3773+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/3fce1691-a85b-43ac-abf8-c440d721cc20/5S5A3788+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ca33ca97-61cd-43df-8825-ca6d365371f7/5S5A3824+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8677484f-81c4-4446-8278-7de43944c7e1/5S5A4733Edit+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5528c963-7cd4-46d2-93f6-53d9631181d5/5S5A4724Edit+copy+2-1.jpg?content-type=image%2Fjpeg","Angénieux Optimo Zooms are renowned professional cinema lenses celebrated for their exceptional optical quality, smooth zoom mechanics, and versatile focal ranges. Engineered for high-end film and television production, these lenses deliver stunning sharpness, beautiful color rendition, and a distinctive cinematic look. Their robust build ensures reliable performance on set, while the ergonomic design allows precise manual control. The Optimo Zoom series is a favorite among cinematographers who demand both flexibility and superior image quality in dynamic shooting environments.",
Angenieux,Optimo,28-76mm,T2.6,2',PL,Super 35,,1x,114mm,N/A,4.2lbs,Zoom,"<p><a href=""/lens?family=Optimo"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/044edcc4-44c2-4010-ae14-4be15c4ebc6d/5S5A3745+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4ac052c6-842e-4888-ba4a-812808e0cdfc/5S5A3773+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/3fce1691-a85b-43ac-abf8-c440d721cc20/5S5A3788+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ca33ca97-61cd-43df-8825-ca6d365371f7/5S5A3824+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8677484f-81c4-4446-8278-7de43944c7e1/5S5A4733Edit+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5528c963-7cd4-46d2-93f6-53d9631181d5/5S5A4724Edit+copy+2-1.jpg?content-type=image%2Fjpeg","Angénieux Optimo Zooms are renowned professional cinema lenses celebrated for their exceptional optical quality, smooth zoom mechanics, and versatile focal ranges. Engineered for high-end film and television production, these lenses deliver stunning sharpness, beautiful color rendition, and a distinctive cinematic look. Their robust build ensures reliable performance on set, while the ergonomic design allows precise manual control. The Optimo Zoom series is a favorite among cinematographers who demand both flexibility and superior image quality in dynamic shooting environments.",
Angenieux,Optimo,45-120mm,T2.6,"3'1""",PL,Super 35,,1x,114mm,N/A,4.3lbs,Zoom,"<p><a href=""/lens?family=Optimo"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/044edcc4-44c2-4010-ae14-4be15c4ebc6d/5S5A3745+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4ac052c6-842e-4888-ba4a-812808e0cdfc/5S5A3773+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/3fce1691-a85b-43ac-abf8-c440d721cc20/5S5A3788+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/ca33ca97-61cd-43df-8825-ca6d365371f7/5S5A3824+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/8677484f-81c4-4446-8278-7de43944c7e1/5S5A4733Edit+copy+2-1.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/5528c963-7cd4-46d2-93f6-53d9631181d5/5S5A4724Edit+copy+2-1.jpg?content-type=image%2Fjpeg","Angénieux Optimo Zooms are renowned professional cinema lenses celebrated for their exceptional optical quality, smooth zoom mechanics, and versatile focal ranges. Engineered for high-end film and television production, these lenses deliver stunning sharpness, beautiful color rendition, and a distinctive cinematic look. Their robust build ensures reliable performance on set, while the ergonomic design allows precise manual control. The Optimo Zoom series is a favorite among cinematographers who demand both flexibility and superior image quality in dynamic shooting environments.",
Angenieux,Optimo Ultra,24-290mm,T2.8,4',PL or LPL,Super 35,,1x,162mm,N/A,27.7lbs,Zoom,"<p><a href=""/lens?family=Optimo%20Ultra"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/33e49183-e1db-4a1f-a4fc-7b2fd5667f98/5S5A5231+copy2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/87b585f1-7303-4390-b3ae-282e7740b459/5S5A5257+copy.jpg?content-type=image%2Fjpeg","The Angénieux Optimo Ultra 12x is a high-end, modular, cine zoom designed for maximum flexibility. It features interchangeable rear optic (IRO) technology for seamless coverage across Super 35, Ultra35, and Full Frame/VistaVision formats. Its wide focal range and consistent optical performance make it ideal for dynamic shooting environments without sacrificing image quality. Built for versatility, it delivers the precision of primes with the convenience of a zoom.",
Angenieux,Optimo Ultra,26-320mm,T3.1,"4'1""",PL or LPL,Ultra 35,,1x,162mm,N/A,28.1lbs,Zoom,"<p><a href=""/lens?family=Optimo%20Ultra"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/33e49183-e1db-4a1f-a4fc-7b2fd5667f98/5S5A5231+copy2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/87b585f1-7303-4390-b3ae-282e7740b459/5S5A5257+copy.jpg?content-type=image%2Fjpeg","The Angénieux Optimo Ultra 12x is a high-end, modular, cine zoom designed for maximum flexibility. It features interchangeable rear optic (IRO) technology for seamless coverage across Super 35, Ultra35, and Full Frame/VistaVision formats. Its wide focal range and consistent optical performance make it ideal for dynamic shooting environments without sacrificing image quality. Built for versatility, it delivers the precision of primes with the convenience of a zoom.",
Angenieux,Optimo Ultra,36-435mm,T4.2,5',PL or LPL,Full Frame,,1x,162mm,N/A,28.1lbs,Zoom,"<p><a href=""/lens?family=Optimo%20Ultra"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/33e49183-e1db-4a1f-a4fc-7b2fd5667f98/5S5A5231+copy2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/87b585f1-7303-4390-b3ae-282e7740b459/5S5A5257+copy.jpg?content-type=image%2Fjpeg","The Angénieux Optimo Ultra 12x is a high-end, modular, cine zoom designed for maximum flexibility. It features interchangeable rear optic (IRO) technology for seamless coverage across Super 35, Ultra35, and Full Frame/VistaVision formats. Its wide focal range and consistent optical performance make it ideal for dynamic shooting environments without sacrificing image quality. Built for versatility, it delivers the precision of primes with the convenience of a zoom.",
Arri,Alura,15.5-45mm,T2.8,2',PL,Super 35,,1x,114mm,N/A,4.9lbs,Zoom,"Developed in conjunction with Fujinon <p><a href=""/lens?family=Alura"">More Info</a></p>
",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/26c1b95d-01dd-433e-870a-8c0a4558dc81/5S5A3505+copy2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e49596c2-9b1c-4c87-b31c-455abe019af7/5S5A3516+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0a66bdf0-40f4-4943-bdbc-aaecea8b4ae1/5S5A3556+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/7c31442c-8430-4fa8-b179-cc9454b9f0af/5S5A3589+copy.jpg?content-type=image%2Fjpeg","ARRI Alura 15.5–45mm and 30–80mm Zoom Lenses are lightweight, Super 35 cine zooms developed in partnership with FUJINON, offering exceptional optical performance in a compact form. Fast T2.8 apertures, minimal breathing, and precise color matching, provide a versatile solution for handheld, gimbal, or Steadicam work. Ideal for high-end productions seeking flexibility without sacrificing image quality.",
Arri,Alura,30-80mm,T2.8,2',PL,Super 35,,1x,114mm,N/A,4.9lbs,Zoom,"Developed in conjunction with Fujinon <p><a href=""/lens?family=Alura"">More Info</a></p>
",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/26c1b95d-01dd-433e-870a-8c0a4558dc81/5S5A3505+copy2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e49596c2-9b1c-4c87-b31c-455abe019af7/5S5A3516+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0a66bdf0-40f4-4943-bdbc-aaecea8b4ae1/5S5A3556+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/7c31442c-8430-4fa8-b179-cc9454b9f0af/5S5A3589+copy.jpg?content-type=image%2Fjpeg","ARRI Alura 15.5–45mm and 30–80mm Zoom Lenses are lightweight, Super 35 cine zooms developed in partnership with FUJINON, offering exceptional optical performance in a compact form. Fast T2.8 apertures, minimal breathing, and precise color matching, provide a versatile solution for handheld, gimbal, or Steadicam work. Ideal for high-end productions seeking flexibility without sacrificing image quality.",
Arri,Impression Filters,Impression Filters,N/A,N/A,N/A,Full Frame,,1x,N/A,Rear Magnetic,N/A,Filter,"Positive: 070P, 140P, 230P, 330P; Negative: 050N, 100N, 200N, 290N <p><a href=""https://www.thecameradept.com/news/2023/4/24/arri-impression-v-filters"">More Info</a></p>",Yes,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/2a53e297-9a9b-4d39-9ef0-0a6ef381172e/5S5A9445Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4b0a27d4-7378-4389-a89f-f94870e3f7d1/5S5A9549Edit+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0c195fbf-424f-46f1-9dd8-b1de0ad42159/5S5A9476Edit+copy.jpg?content-type=image%2Fjpeg","ARRI Impression Filters are rear-mounted, magnetic filters designed to alter the optical character of both ARRI Signature Primes and Signature Zooms. Using positive or negative diopter strengths, they shift the focus plane to create controlled field curvature, focus falloff, and vintage-style aesthetics. This tool-free, reversible system offers a fast and flexible way to add distinctive personality to the Arri Signature Lens lineup.",
Arri,Signature Prime,18mm,T1.8,"14""",LPL,Full Frame,,1x,114mm,N/A,4.4lbs,Prime,"<p><a href=""/lens?family=Signature%20Prime"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/b288feea-fd33-43b1-abc0-54ccd134af4c/5S5A3221+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4b4372a8-8572-4713-9eb6-c228a28c8710/5S5A3256+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/35fa3d0f-c740-42a2-9f8d-14ed8085f171/5S5A9485Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0131f05d-dbb0-41dc-b27c-532cd383fda8/5S5A3229+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e85b12ac-53a5-47ab-8897-9f88107fc399/5S5A9476Edit+copy+2.jpg?content-type=image%2Fjpeg","ARRI Signature Primes are state-of-the-art cine lenses designed for the LPL mount, offering exceptional image quality optimized for large-format sensors. With a modern optical design, they deliver stunning sharpness, smooth focus falloff, and natural skin tones, all while maintaining a cinematic, organic look. Lightweight and robust, Signature Primes combine technical precision with artistic character for today’s most demanding productions.",
Arri,Signature Prime,25mm,T1.8,"14""",LPL,Full Frame,,1x,114mm,N/A,4.2lbs,Prime,"<p><a href=""/lens?family=Signature%20Prime"">More Info</a></p>",,"https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/b288feea-fd33-43b1-abc0-54ccd134af4c/5S5A3221+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/4b4372a8-8572-4713-9eb6-c228a28c8710/5S5A3256+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/35fa3d0f-c740-42a2-9f8d-14ed8085f171/5S5A9485Edit+copy+2.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/0131f05d-dbb0-41dc-b27c-532cd383fda8/5S5A3229+copy.jpg?content-type=image%2Fjpeg, https://images.squarespace-cdn.com/content/573e04d08259b5f6adcea66e/e85b12ac-53a5-47ab-8897-9f88107fc399/5S5A9476Edit+copy+2.jpg?content-type=image%2Fjpeg","ARRI Signature Primes are state-of-the-art cine lenses designed for the LPL mount, offering exceptional image quality optimized for large-format sensors. With a modern optical design, they deliver stunning sharpness, smooth focus falloff, and natural skin tones, all while maintaining a cinematic, organic look. Lightweight and robust, Signature Primes combine technical precision with artistic character for today’s most demanding productions.",
